Ano,Copacabana,Ipanema,Leblon,Grumari,Botafogo,Flamengo,Itacoatiara,Sossego,Icaraí,Jurujuba,São Francisco,Data
2013,80,80,60,80,10,10,100,100,6,0,0,1/1/2013
2014,100,100,100,100,10,10,99,100,52,14,11,1/1/2014
2015,100,80,60,100,10,10,98,94,55,9,12,1/1/2015
2016,100,80,60,100,10,10,95,100,43,23,12,1/1/2016
2017,80,80,60,100,10,10,97,100,61,33,34,1/1/2017
2018,100,80,60,100,10,10,96,100,57,30,23,1/1/2018
2019,100,80,60,100,10,10,99,100,53,14,16,1/1/2019
2020,100,80,60,100,10,10,98,100,63,28,12,1/1/2020
2021,100,80,60,100,30,10,99,100,79,26,28,1/1/2021
2022,100,80,60,100,10,10,98,100,65,32,35,1/1/2022
2023,80,80,80,100,10,30,99,100,53,23,30,1/1/2023
2024,85,80,60,100,10,80,100,100,52,24,9,1/1/2024
