Time,Itacoatiara,Ipanema,Copacabana,Búzios,Ano,Mes,AnoMes
2021-05-01,4,35,49,8,2021,5,2021-05
2021-06-01,4,36,54,8,2021,6,2021-06
2021-07-01,4,40,54,9,2021,7,2021-07
2021-08-01,4,38,58,10,2021,8,2021-08
2021-09-01,4,45,63,10,2021,9,2021-09
2021-10-01,4,44,61,11,2021,10,2021-10
2021-11-01,4,44,66,11,2021,11,2021-11
2021-12-01,4,51,71,12,2021,12,2021-12
2022-01-01,5,52,79,17,2022,1,2022-01
2022-02-01,4,49,62,11,2022,2,2022-02
2022-03-01,4,46,61,12,2022,3,2022-03
2022-04-01,4,44,59,11,2022,4,2022-04
2022-05-01,4,41,55,9,2022,5,2022-05
2022-06-01,4,41,53,8,2022,6,2022-06
2022-07-01,4,45,60,11,2022,7,2022-07
2022-08-01,4,43,57,10,2022,8,2022-08
2022-09-01,4,46,66,11,2022,9,2022-09
2022-10-01,4,45,55,10,2022,10,2022-10
2022-11-01,4,46,62,10,2022,11,2022-11
2022-12-01,4,56,79,12,2022,12,2022-12
2023-01-01,5,58,82,15,2023,1,2023-01
2023-02-01,5,55,64,10,2023,2,2023-02
2023-03-01,4,48,63,9,2023,3,2023-03
2023-04-01,6,46,57,9,2023,4,2023-04
2023-05-01,4,40,57,7,2023,5,2023-05
2023-06-01,4,42,59,7,2023,6,2023-06
2023-07-01,4,49,63,8,2023,7,2023-07
2023-08-01,4,45,83,8,2023,8,2023-08
2023-09-01,5,47,68,9,2023,9,2023-09
2023-10-01,5,45,61,10,2023,10,2023-10
2023-11-01,5,49,65,9,2023,11,2023-11
2023-12-01,5,53,74,12,2023,12,2023-12
2024-01-01,5,52,71,14,2024,1,2024-01
2024-02-01,5,52,56,9,2024,2,2024-02
2024-03-01,4,45,60,8,2024,3,2024-03
2024-04-01,4,41,65,7,2024,4,2024-04
2024-05-01,4,43,77,7,2024,5,2024-05
2024-06-01,4,43,54,7,2024,6,2024-06
2024-07-01,4,42,56,8,2024,7,2024-07
2024-08-01,5,43,56,8,2024,8,2024-08
2024-09-01,5,46,58,9,2024,9,2024-09
2024-10-01,5,45,56,10,2024,10,2024-10
2024-11-01,4,46,62,9,2024,11,2024-11
2024-12-01,5,50,72,11,2024,12,2024-12
2025-01-01,5,53,77,13,2025,1,2025-01
2025-02-01,4,46,58,9,2025,2,2025-02
2025-03-01,4,45,64,8,2025,3,2025-03
2025-04-01,4,41,65,8,2025,4,2025-04
2025-05-01,4,41,80,7,2025,5,2025-05
2025-06-01,4,38,52,7,2025,6,2025-06
2025-07-01,4,43,56,8,2025,7,2025-07
2025-08-01,4,43,57,8,2025,8,2025-08
2025-09-01,4,46,61,9,2025,9,2025-09
2025-10-01,4,45,62,10,2025,10,2025-10
2025-11-01,4,45,57,10,2025,11,2025-11
2025-12-01,5,68,80,13,2025,12,2025-12
2026-01-01,5,53,78,15,2026,1,2026-01
2026-02-01,5,49,67,10,2026,2,2026-02
2026-03-01,4,44,64,9,2026,3,2026-03
2026-04-01,5,45,58,10,2026,4,2026-04
2026-05-01,4,44,100,9,2026,5,2026-05
